,accuracy,dprime
airplane,0.8400000000000001,2.7077072848378263
bear,0.21000000000000002,0.8648573260511706
bicycle,0.8300000000000001,3.507598683400221
bird,0.17,1.3478673551898863
boat,0.71,2.35250282639364
bottle,1.0,5.0
car,0.5199999999999999,2.117870325430806
cat,0.63,1.838115069715061
chair,0.8099999999999999,3.3526359442707125
clock,0.77,3.213586498404698
dog,0.41,1.4643465039496852
elephant,0.25,1.177690108572965
keyboard,1.0,5.0
knife,0.73,2.8699422355028528
oven,0.8200000000000001,3.2674867843341984
truck,0.7,3.1764703206102363
