,accuracy,dprime
airplane,0.21277529329061506,0.8029507881470022
bear,0.11423172008246181,0.36528113774082605
bicycle,0.21893497854471203,0.836988146419295
bird,0.11268154866993423,0.35363548229592356
boat,0.17941148996353148,0.5976024174037405
bottle,0.3340423905849456,1.245315009507499
car,0.12164159923791881,0.4093203339661309
cat,0.11542925365269179,0.3199217768677425
chair,0.3304763137549162,1.2524414014503338
clock,0.4167815302684904,1.6201756655540525
dog,0.11150835350155827,0.345344015677038
elephant,0.1280436281859874,0.4644332429542326
keyboard,0.390290515422821,1.4129169264380346
knife,0.305263424962759,1.1409014343108559
oven,0.20595614276826382,0.9063123379063475
truck,0.15848135247826572,0.6681419400613713
