,accuracy,dprime
airplane,0.69,2.461549841189784
bear,0.24000000000000005,0.8712577032591201
bicycle,0.89,3.2406189320547494
bird,0.2,1.2706094648293549
boat,0.42000000000000004,2.0771132268951717
bottle,0.89,3.462809683647292
car,0.43,1.7667595863242052
cat,0.6699999999999999,2.1111917387426447
chair,0.64,2.8331984424706778
clock,0.7,2.9991401619275244
dog,0.25999999999999995,1.0555795019473808
elephant,0.37,1.281505048215486
keyboard,0.8800000000000001,3.075747724930891
knife,0.8099999999999999,3.0568738811124785
oven,0.78,2.8123638499981354
truck,0.61,2.022320645908175
