,accuracy,dprime
airplane,0.14005894329398866,0.509808238803974
bear,0.11102069772779936,0.337176671203093
bicycle,0.19082305334508418,0.6841302755172303
bird,0.12534955762326713,0.4548770775771309
boat,0.24021789848804476,0.8534586367652698
bottle,0.3168166518211365,1.2462014837951905
car,0.10838341355323788,0.3102419549787221
cat,0.1382958379387855,0.4303486038313473
chair,0.45109594566747546,1.702495154214773
clock,0.42108206011354915,1.6416929090062875
dog,0.10715898327529427,0.31345066247820585
elephant,0.1237327995151281,0.40145400094824946
keyboard,0.33334700599312783,1.2290401397548805
knife,0.32622182559221985,1.2777959195991304
oven,0.12618536610156295,0.47846864689942326
truck,0.17001746308058494,0.6721917469759969
