,accuracy,dprime
airplane,0.8,2.9538519319751835
bear,0.9,3.3937822639468695
bicycle,0.8699999999999999,3.208491164298148
bird,0.71,2.9329444561522866
boat,0.11000000000000001,0.47239678730368806
bottle,0.9700000000000001,4.260353344747866
car,0.86,3.134068251446779
cat,0.6699999999999999,2.466871571030413
chair,0.85,5.0
clock,0.72,3.2958933957439345
dog,0.9,4.0677310421148745
elephant,0.8,3.3163608827923983
keyboard,1.0,5.0
knife,0.79,2.749554998123307
oven,1.0,5.0
truck,0.99,4.801087523260325
