,accuracy,dprime
airplane,0.6410846456512809,2.262555361899052
bear,0.7959922771155834,2.9095347647651177
bicycle,0.826368539482355,3.040440754202193
bird,0.6282772666215897,2.4736663111607906
boat,0.18548183334991333,0.8032372866534604
bottle,0.8486884462833404,3.2990559342084813
car,0.7200357822328807,2.5850676190370696
cat,0.6756909763440488,2.486319566240199
chair,0.7816061187908054,3.0311105662671176
clock,0.6974766983557493,2.8127774364443234
dog,0.821042501181364,3.369299015249882
elephant,0.8103780825529248,3.243618138523439
keyboard,0.9210342895984649,3.9165348953317345
knife,0.7292629195190965,2.519656054379757
oven,0.9272415089607238,3.8989555558563014
truck,0.895065007507801,3.5415627813274013
