,accuracy,dprime
airplane,0.9407690554857254,3.9811320477596945
bear,0.7555476433038711,2.8993267768725737
bicycle,0.910009078681469,3.777791042140008
bird,0.6731468826532364,2.5634186118614006
boat,0.6596974822878837,2.5945909260933564
bottle,0.8632063364982605,3.4210516213437128
car,0.8383360970020295,3.1607428390820296
cat,0.8417828199267389,3.223294257382799
chair,0.8436679488420487,3.2520522905587415
clock,0.9220704841613768,3.9283983823219994
dog,0.7929694038629533,3.02245250095537
elephant,0.7841265753656625,3.056200769909556
keyboard,0.8773860204219817,3.514229991826236
knife,0.8768057107925415,3.496255088860139
oven,0.8523281341791155,3.427469704114057
truck,0.891809987425804,3.6312350300559766
