,accuracy,dprime
airplane,0.8981497889757156,3.6122143792123236
bear,0.7972831262648106,3.055692720922073
bicycle,0.9090131676197052,3.6910839923472984
bird,0.6503402423858643,2.513679158117561
boat,0.6933308464661241,2.617950690964551
bottle,0.8591796064376831,3.3956648713302133
car,0.8668899863958359,3.391036389027194
cat,0.7042852848954498,2.6235102367527503
chair,0.8153965169191361,3.025802746804993
clock,0.8966331553459167,3.6693934142662945
dog,0.7208428290486336,2.7496381701719255
elephant,0.8103925809264183,3.10060595882133
keyboard,0.8343854975700378,3.2066568106901094
knife,0.8049714189767838,3.093548152010584
oven,0.7860955701768397,3.0477825706116306
truck,0.8374180471897125,3.2690006751547855
