,unique_img,object_response,category
0,airplane1.png,airplane,airplane
1,airplane10.png,airplane,airplane
2,airplane2.png,boat,airplane
3,airplane3.png,airplane,airplane
4,airplane4.png,airplane,airplane
5,airplane5.png,airplane,airplane
6,airplane6.png,airplane,airplane
7,airplane7.png,airplane,airplane
8,airplane8.png,airplane,airplane
9,airplane9.png,airplane,airplane
10,bear1.png,bear,bear
11,bear10.png,bear,bear
12,bear2.png,bear,bear
13,bear3.png,bear,bear
14,bear4.png,bear,bear
15,bear5.png,bear,bear
16,bear6.png,cat,bear
17,bear7.png,bear,bear
18,bear8.png,bear,bear
19,bear9.png,bear,bear
20,bicycle1.png,bicycle,bicycle
21,bicycle10.png,bicycle,bicycle
22,bicycle2.png,bicycle,bicycle
23,bicycle3.png,bicycle,bicycle
24,bicycle4.png,bicycle,bicycle
25,bicycle5.png,bicycle,bicycle
26,bicycle6.png,bicycle,bicycle
27,bicycle7.png,bicycle,bicycle
28,bicycle8.png,bicycle,bicycle
29,bicycle9.png,bicycle,bicycle
30,bird1.png,bird,bird
31,bird10.png,bird,bird
32,bird2.png,bird,bird
33,bird3.png,bird,bird
34,bird4.png,bird,bird
35,bird5.png,bird,bird
36,bird6.png,bird,bird
37,bird7.png,bird,bird
38,bird8.png,bird,bird
39,bird9.png,bird,bird
40,boat1.png,boat,boat
41,boat10.png,boat,boat
42,boat2.png,boat,boat
43,boat3.png,car,boat
44,boat4.png,boat,boat
45,boat5.png,boat,boat
46,boat6.png,boat,boat
47,boat7.png,boat,boat
48,boat8.png,car,boat
49,boat9.png,boat,boat
50,bottle1.png,bottle,bottle
51,bottle10.png,bottle,bottle
52,bottle2.png,bottle,bottle
53,bottle3.png,bottle,bottle
54,bottle4.png,bottle,bottle
55,bottle5.png,bottle,bottle
56,bottle6.png,bottle,bottle
57,bottle7.png,bottle,bottle
58,bottle8.png,bottle,bottle
59,bottle9.png,bottle,bottle
60,car1.png,car,car
61,car10.png,car,car
62,car2.png,car,car
63,car3.png,car,car
64,car4.png,boat,car
65,car5.png,car,car
66,car6.png,car,car
67,car7.png,car,car
68,car8.png,car,car
69,car9.png,car,car
70,cat1.png,cat,cat
71,cat10.png,cat,cat
72,cat2.png,cat,cat
73,cat3.png,cat,cat
74,cat4.png,cat,cat
75,cat5.png,cat,cat
76,cat6.png,cat,cat
77,cat7.png,cat,cat
78,cat8.png,cat,cat
79,cat9.png,cat,cat
80,chair1.png,chair,chair
81,chair10.png,chair,chair
82,chair2.png,chair,chair
83,chair3.png,chair,chair
84,chair4.png,chair,chair
85,chair5.png,airplane,chair
86,chair6.png,chair,chair
87,chair7.png,chair,chair
88,chair8.png,chair,chair
89,chair9.png,chair,chair
90,clock1.png,clock,clock
91,clock10.png,clock,clock
92,clock2.png,clock,clock
93,clock3.png,clock,clock
94,clock4.png,clock,clock
95,clock5.png,clock,clock
96,clock6.png,clock,clock
97,clock7.png,clock,clock
98,clock8.png,clock,clock
99,clock9.png,clock,clock
100,dog1.png,dog,dog
101,dog10.png,dog,dog
102,dog2.png,dog,dog
103,dog3.png,dog,dog
104,dog4.png,dog,dog
105,dog5.png,dog,dog
106,dog6.png,dog,dog
107,dog7.png,dog,dog
108,dog8.png,dog,dog
109,dog9.png,dog,dog
110,elephant1.png,elephant,elephant
111,elephant10.png,elephant,elephant
112,elephant2.png,elephant,elephant
113,elephant3.png,elephant,elephant
114,elephant4.png,elephant,elephant
115,elephant5.png,elephant,elephant
116,elephant6.png,elephant,elephant
117,elephant7.png,elephant,elephant
118,elephant8.png,elephant,elephant
119,elephant9.png,elephant,elephant
120,keyboard1.png,keyboard,keyboard
121,keyboard10.png,keyboard,keyboard
122,keyboard2.png,keyboard,keyboard
123,keyboard3.png,keyboard,keyboard
124,keyboard4.png,keyboard,keyboard
125,keyboard5.png,keyboard,keyboard
126,keyboard6.png,keyboard,keyboard
127,keyboard7.png,keyboard,keyboard
128,keyboard8.png,keyboard,keyboard
129,keyboard9.png,keyboard,keyboard
130,knife1.png,knife,knife
131,knife10.png,knife,knife
132,knife2.png,knife,knife
133,knife3.png,knife,knife
134,knife4.png,knife,knife
135,knife5.png,knife,knife
136,knife6.png,knife,knife
137,knife7.png,knife,knife
138,knife8.png,knife,knife
139,knife9.png,knife,knife
140,oven1.png,oven,oven
141,oven10.png,oven,oven
142,oven2.png,oven,oven
143,oven3.png,oven,oven
144,oven4.png,oven,oven
145,oven5.png,oven,oven
146,oven6.png,oven,oven
147,oven7.png,oven,oven
148,oven8.png,oven,oven
149,oven9.png,oven,oven
150,truck1.png,truck,truck
151,truck10.png,truck,truck
152,truck2.png,truck,truck
153,truck3.png,truck,truck
154,truck4.png,truck,truck
155,truck5.png,truck,truck
156,truck6.png,truck,truck
157,truck7.png,truck,truck
158,truck8.png,truck,truck
159,truck9.png,truck,truck
160,airplane1.png,airplane,airplane
161,airplane10.png,airplane,airplane
162,airplane2.png,boat,airplane
163,airplane3.png,airplane,airplane
164,airplane4.png,airplane,airplane
165,airplane5.png,airplane,airplane
166,airplane6.png,airplane,airplane
167,airplane7.png,airplane,airplane
168,airplane8.png,airplane,airplane
169,airplane9.png,airplane,airplane
170,bear1.png,bear,bear
171,bear10.png,bear,bear
172,bear2.png,bear,bear
173,bear3.png,bear,bear
174,bear4.png,bear,bear
175,bear5.png,bear,bear
176,bear6.png,cat,bear
177,bear7.png,bear,bear
178,bear8.png,bear,bear
179,bear9.png,bear,bear
180,bicycle1.png,bicycle,bicycle
181,bicycle10.png,bicycle,bicycle
182,bicycle2.png,bicycle,bicycle
183,bicycle3.png,bicycle,bicycle
184,bicycle4.png,bicycle,bicycle
185,bicycle5.png,bicycle,bicycle
186,bicycle6.png,bicycle,bicycle
187,bicycle7.png,bicycle,bicycle
188,bicycle8.png,bicycle,bicycle
189,bicycle9.png,bicycle,bicycle
190,bird1.png,bird,bird
191,bird10.png,dog,bird
192,bird2.png,bird,bird
193,bird3.png,bird,bird
194,bird4.png,bird,bird
195,bird5.png,bird,bird
196,bird6.png,bird,bird
197,bird7.png,bird,bird
198,bird8.png,bird,bird
199,bird9.png,bird,bird
200,boat1.png,boat,boat
201,boat10.png,boat,boat
202,boat2.png,boat,boat
203,boat3.png,car,boat
204,boat4.png,boat,boat
205,boat5.png,boat,boat
206,boat6.png,boat,boat
