,accuracy,dprime
airplane,0.8018863062560557,2.9505609199260974
bear,0.7627780494093895,2.911105358699466
bicycle,0.9265637016296386,3.8315815317248885
bird,0.6186917786300182,2.581581139146526
boat,0.5767195887118578,2.1201610811469838
bottle,0.8707065892219544,3.484841436375614
car,0.7731276440620423,2.805500620493816
cat,0.8241244012117386,3.1869358374976224
chair,0.8277044969797135,3.253292032634657
clock,0.881661224961281,3.7282409378881756
dog,0.7876227149367333,3.1142069081865795
elephant,0.840936761572957,3.316221640865257
keyboard,0.8992099374532699,3.533829533431776
knife,0.8120884668827056,2.986286298433892
oven,0.839741517305374,3.3403234403021695
truck,0.878870131969452,3.5176111472110767
