,accuracy,dprime
airplane,0.8300000000000001,3.740344729716469
bear,0.49000000000000005,2.5283645219953153
bicycle,0.96,4.959392981687188
bird,0.79,3.108453855354321
boat,0.8,3.167969107613755
bottle,0.9800000000000001,5.0
car,0.9800000000000001,4.462664456447286
cat,0.89,3.308628155295958
chair,0.99,4.978417681943036
clock,0.9800000000000001,4.565893238562287
dog,0.85,3.2935626339800153
elephant,0.8400000000000001,3.506602211140215
keyboard,0.9199999999999999,4.1912510368799065
knife,0.9400000000000001,3.8337803006338764
oven,0.8100000000000002,3.17992890338731
truck,0.89,3.738672447967072
