,accuracy,dprime
airplane,0.9800000000000001,4.198159531543665
bear,0.74,2.8597081846173156
bicycle,0.97,5.0
bird,0.9400000000000001,3.8337803006338764
boat,0.51,1.9572810000569691
bottle,0.99,4.978417681943036
car,0.63,2.444084044839086
cat,0.77,2.900218182548918
chair,1.0,5.0
clock,0.82,3.390104737062298
dog,0.7500000000000002,3.0008376242369232
elephant,0.8600000000000001,3.296682120039355
keyboard,0.23000000000000007,1.2268526446571173
knife,0.96,3.4287565894730783
oven,0.37,1.6822374655813221
truck,0.53,2.5157767398747475
